Chapter,Type,Word,Meaning
44,표제어,ancestor,"n.조상, 선조"
44,연관어,ancestral,a.조상의
31,표제어,ancient,"a.고대의, 오래된"
45,표제어,anecdote,"n.일화, 짧은 이야기"
44,표제어,anger,n.분노
3,표제어,angle,n.각도
12,표제어,animate,v.활기를 불어넣다
24,표제어,anniversary,n.기념일
27,표제어,announcement,"n.발표, 안내 방송"
27,연관어,announce,"v.알리다, 발표하다, 선언하다"
9,표제어,annoy,v.짜증나게 하다
9,연관어,annoyance,"n.짜증, 골칫거리, 성가심"
9,연관어,annoying,a.성가신
14,표제어,annual,"a.연례의, 매년의"
14,연관어,annually,"ad.해마다, 매년 "
41,표제어,anthropologist,n.인류학자
41,연관어,anthropology,n.인류학
40,표제어,anticipation,"n.기대, 예상"
40,연관어,anticipate,"v.예상하다, 내다보다"
8,표제어,antipathy,"n.반감, 혐오"
25,표제어,anxious,"a.불안한, 간절히 원하는 "
25,연관어,anxiety,n.불안
25,연관어,anxiously,ad.초조하게
34,표제어,apart,"ad.떨어져, 따로"
22,표제어,apathy,"n.무관심, 냉담"
35,표제어,apparent,"a.명백한, 분명한, 뚜렷한"
35,연관어,apparently,"ad.겉보기에, 분명히"
40,표제어,appealing,"a.흥미를 끄는, 매력적인"
40,연관어,appeal,n.매력
2,표제어,appear,"v.나타나다, ~처럼 보이다, 출연하다"
2,연관어,appearance,"n.겉모습, 외모, 출현 "
35,표제어,apply,"v.적용하다, 적용되다, 지원하다, 신청하다"
35,연관어,appliance,"n.가전제품, 기기"
35,연관어,applicable,a.적용할 수 있는
35,연관어,applicant,n.지원자
35,연관어,application,"n.신청, 응용, 앱, 적용, 지원서"
45,표제어,appoint,v.임명하다
45,연관어,appointment,"n.약속, 지정, 임명"
44,표제어,appreciate,"v.감사하다, 알다, 이해하다, 감상하다, 높이 평가하다"
44,연관어,appreciation,"n.감상, 감탄"
44,연관어,appreciative,"a.감사하는, 감탄하는"
45,표제어,approach,"n.접근, 접근법 v.다가가다"
45,표제어,appropriate,"a.적절한, 적합한"
45,연관어,appropriately,ad.적절히
39,표제어,approve,v.승인하다
39,연관어,approval,"n.승인, 동의"
40,표제어,approximately,"ad.대략, 약"
40,연관어,approximate,a.근사치의
40,연관어,approximation,"n.근접, 근사  "
46,표제어,aptitude,"n.소질, 적성, 재능"
15,표제어,arbitrary,a.임의의
25,표제어,architecture,"n.건축, 건축학, 구조, 건축물"
25,연관어,architect,n.건축가
25,연관어,architectural,a.건축의
29,표제어,argue,"v.주장하다, 논쟁하다"
29,연관어,arguable,a.논쟁의 여지가 있는
29,연관어,arguably,"ad.거의 틀림없이, 주장할 만하게"
29,연관어,argument,"n.논지, 주장, 말다툼"
40,표제어,arise,"v.발생하다, 일어나다"
44,표제어,arouse,"v.발생시키다, 자극하다, 각성시키다 "
44,연관어,arousal,"n.자극, 각성"
41,표제어,arrangement,"n.구조, 배열, 배치, 정리"
41,연관어,arrange,"v.정리하다, 준비하다"
32,표제어,array,"n.집합, 모음, (컴퓨터) 배열"
3,표제어,arrogant,a.오만한
3,표제어,article,"n.글, 기사, 물품, 조항"
21,표제어,artifact,"n.유물, 인공물"
12,표제어,artificial,"a.인공의, 인위적인, 거짓된"
8,표제어,ascend,"v.오르다, 상승하다"
24,표제어,ashamed,"a.부끄러운, 수치스러운"
32,표제어,aspect,"n.측면, 양상, 방향, 모습"
47,표제어,aspiration,"n.열망, 염원"
47,연관어,aspire,v.열망하다
24,표제어,assemble,"v.조립하다, 모으다"
24,연관어,assembly,"n.집회, 조립"
27,표제어,assert,v.주장하다
27,연관어,assertion,n.주장
27,연관어,assertive,a.자기주장이 강한
10,표제어,assess,v.평가하다
10,연관어,assessment,n.평가
5,표제어,assign,"v.할당하다, 부여하다"
5,연관어,assignment,"n.~과업, ~과제"
7,표제어,assist,v.돕다 n.도움
7,연관어,assistance,"n.도움, 지원"
19,표제어,associate,"v.연관짓다, 연상하다 n.동료"
19,연관어,association,"n.연관, 연상, 협회"
19,연관어,be associated with,v.~과 관련되다
35,표제어,assume,"v.가정하다, 추측하다, (책임 등을) 맡다, 추정하다"
35,연관어,assumption,"n.가정, 추정"
5,표제어,assure,"v.확신시키다, 보장하다"
5,연관어,assurance,"n.확신, 보증"
5,연관어,astonish,v.놀라게 하다
27,표제어,astonishing,a.놀라운
27,연관어,astonishingly,ad.놀랍게도
27,연관어,asymmetric,a.비대칭의
45,표제어,at best,"기껏해야, 잘해야"
18,표제어,athlete,n.운동선수
18,연관어,athletic,"a.운동의, (몸이) 탄탄한"
31,표제어,atmosphere,"n.대기, 분위기"
5,표제어,atom,n.원자
5,연관어,atomic,a.원자의
1,표제어,attach,"v.붙이다, 애착을 느끼다"
1,연관어,attachment,"n.애착, 부착물"
5,표제어,attain,"v.이루다, 달성하다, 도달하다"
5,연관어,attainable,a.이룰 수 있는
28,표제어,attend,"v.참석하다, 주의를 기울이다"
28,연관어,attendance,"n.출석, 참석"
20,표제어,attention,"n.주의, 주목, 관심"
20,연관어,attentive,"a.세심한, 주의 깊은"
28,표제어,attitude,"n.태도, 마음가짐"
8,표제어,attract,"v.끌어당기다, 매혹하다, 유인하다"
8,연관어,attraction,"n.매력, 명소"
8,연관어,attractive,a.매력적인
8,연관어,unattractive,a.매력적이지 않은
8,연관어,attractiveness,n.매력
7,표제어,attribute,"n.속성, 특성 v. 결과로 보다"
7,연관어,attribution,"n.귀속, 원인으로 돌림"
7,연관어,be attributed to,"v.~의 탓으로 돌려지다, ~로 원인이 돌려지다"
43,표제어,auditory,"a.청각의, 귀의"
24,표제어,authentic,"a.진짜의, 진품의, 믿을 만한"
24,연관어,authenticity,"n.진정성, 진위"
20,표제어,authority,"n.권위, 권한"
20,연관어,authoritative,a.권위 있는
20,연관어,authorities,"n.당국, 관계자 "
15,표제어,autobiography,n.자서전
,연관어,automate,v.자동화하다
,연관어,automated,a.자동화된
2,표제어,automatic,"a.자동의, 무의식적인"
2,연관어,automatically,ad.자동적으로
2,연관어,automation,n.자동화
25,표제어,autonomy,"n.자율성, 자치"
25,연관어,autonomous,"a.자율적인, 자치의"
38,표제어,available,"a.이용 가능한, 구할 수 있는, 시간이 있는"
38,연관어,unavailable,a.이용할 수 없는
38,연관어,availability,"n.이용 가능성, 유효성"
42,표제어,avoid,"v.피하다, 막다"
42,연관어,avoidable,a.피할 수 있는
42,연관어,unavoidable,a.불가피한
42,연관어,avoidance,"n.회피, 기피"
5,표제어,awake,a.깨어있는
5,연관어,awaken,v.깨우다
6,표제어,awareness,"n.인지, 인식"
6,연관어,aware,"a.알고 있는, 인식하는"
6,연관어,unaware,a.알지 못하는
6,연관어,be aware of,v.~를 알다
